hallucination_id,question_id,injection_type,trajectory_either,trajectory_judge,stage1_detected,stage4_detected,category,category_judge
FB_001_F18BFC11_H2,FB_001_F18BFC11,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_001_F18BFC11_H1,FB_001_F18BFC11,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_002_42BE1D74_H2,FB_002_42BE1D74,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1,1,Always Detected,Partially Detected (caught at end)
FB_002_42BE1D74_H1,FB_002_42BE1D74,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Partially Detected (caught at end),Full Decay (caught→missed)
FB_003_959AE4F2_H3,FB_003_959AE4F2,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_003_959AE4F2_H2,FB_003_959AE4F2,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(0), np.int64(0))",1,1,Always Detected,Never Detected
FB_003_959AE4F2_H1,FB_003_959AE4F2,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1,1,Always Detected,Partially Detected (caught at end)
FB_004_FF1B8BC2_H3,FB_004_FF1B8BC2,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_004_FF1B8BC2_H2,FB_004_FF1B8BC2,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_004_FF1B8BC2_H1,FB_004_FF1B8BC2,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_005_FE85BE68_H2,FB_005_FE85BE68,dollar_amount,"(np.int64(0), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",0,1,Late Detection,Late Detection
FB_005_FE85BE68_H1,FB_005_FE85BE68,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_006_A4622E06_H2,FB_006_A4622E06,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_006_A4622E06_H1,FB_006_A4622E06,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0))","(np.int64(0), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Never Detected
FB_007_31B558AC_H3,FB_007_31B558AC,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1))","(np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1,1,Partially Detected (caught at end),Partially Detected (caught at end)
FB_007_31B558AC_H2,FB_007_31B558AC,percentage,"(np.int64(0), np.int64(0), np.int64(0), np.int64(1))","(np.int64(0), np.int64(0), np.int64(0), np.int64(1))",0,1,Late Detection,Late Detection
FB_007_31B558AC_H1,FB_007_31B558AC,percentage,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(0), np.int64(1))",1,1,Always Detected,Late Detection
FB_008_77FDE37A_H3,FB_008_77FDE37A,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_008_77FDE37A_H2,FB_008_77FDE37A,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(1), np.int64(1))",1,1,Always Detected,Partially Detected (caught at end)
