qid,hallucination_id,method,injection_type,injected_numeric,gate_1_detected,gate_2_detected,gate_3_detected,end_gate_detected,any_detected,actionable_detected,early_detected,pre_narrative_detected,injected_in_final
FB_001_F18BFC11,FB_001_F18BFC11_H2,vanilla,dollar_amount,1677.0,False,False,False,False,False,False,False,False,True
FB_001_F18BFC11,FB_001_F18BFC11_H1,vanilla,dollar_amount,1967.0,False,False,False,False,False,False,False,False,True
FB_002_42BE1D74,FB_002_42BE1D74_H2,vanilla,dollar_amount,14.3,False,False,False,False,False,False,False,False,True
FB_002_42BE1D74,FB_002_42BE1D74_H1,vanilla,dollar_amount,10.9,False,False,False,False,False,False,False,False,True
FB_003_959AE4F2,FB_003_959AE4F2_H3,vanilla,dollar_amount,59768.0,False,False,False,False,False,False,False,False,True
FB_003_959AE4F2,FB_003_959AE4F2_H2,vanilla,dollar_amount,1858.0,False,False,False,False,False,False,False,False,True
FB_003_959AE4F2,FB_003_959AE4F2_H1,vanilla,dollar_amount,29761.0,False,False,False,False,False,False,False,False,True
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H3,vanilla,dollar_amount,7927.0,False,False,False,False,False,False,False,False,False
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H2,vanilla,dollar_amount,46995.0,False,False,False,False,False,False,False,False,True
FB_004_FF1B8BC2,FB_004_FF1B8BC2_H1,vanilla,dollar_amount,44964.0,False,False,False,False,False,False,False,False,True
FB_005_FE85BE68,FB_005_FE85BE68_H2,vanilla,dollar_amount,8236.0,False,False,False,False,False,False,False,False,True
FB_005_FE85BE68,FB_005_FE85BE68_H1,vanilla,dollar_amount,6023.0,False,False,False,False,False,False,False,False,False
FB_006_A4622E06,FB_006_A4622E06_H2,vanilla,dollar_amount,5902.0,False,False,False,False,False,False,False,False,True
FB_006_A4622E06,FB_006_A4622E06_H1,vanilla,dollar_amount,5576.0,False,False,False,False,False,False,False,False,True
FB_007_31B558AC,FB_007_31B558AC_H3,vanilla,dollar_amount,1009.0,False,False,False,False,False,False,False,False,True
FB_007_31B558AC,FB_007_31B558AC_H2,vanilla,percentage,0.01,False,False,False,False,False,False,False,False,True
FB_007_31B558AC,FB_007_31B558AC_H1,vanilla,percentage,8.5,False,False,False,False,False,False,False,False,True
FB_008_77FDE37A,FB_008_77FDE37A_H3,vanilla,dollar_amount,1.08,False,False,False,False,False,False,False,False,True
FB_008_77FDE37A,FB_008_77FDE37A_H2,vanilla,dollar_amount,1.9,False,False,False,False,False,False,False,False,True
FB_008_77FDE37A,FB_008_77FDE37A_H1,vanilla,dollar_amount,7.92,False,False,False,False,False,False,False,False,True
FB_009_ABDB2F6B,FB_009_ABDB2F6B_H2,vanilla,dollar_amount,1274.0,False,False,False,False,False,False,False,False,False
FB_009_ABDB2F6B,FB_009_ABDB2F6B_H1,vanilla,dollar_amount,1435.0,False,False,False,False,False,False,False,False,False
FB_010_CBE1B721,FB_010_CBE1B721_H2,vanilla,percentage,14.3,False,False,False,False,False,False,False,False,False
FB_010_CBE1B721,FB_010_CBE1B721_H1,vanilla,percentage,16.3,False,False,False,False,False,False,False,False,False
FB_011_F50BA584,FB_011_F50BA584_H2,vanilla,dollar_amount,1051.0,False,False,False,False,False,False,False,False,True
FB_011_F50BA584,FB_011_F50BA584_H1,vanilla,dollar_amount,1034.0,False,False,False,False,False,False,False,False,True
FB_012_41487F3A,FB_012_41487F3A_H2,vanilla,dollar_amount,2035.0,False,False,False,False,False,False,False,False,True
FB_012_41487F3A,FB_012_41487F3A_H1,vanilla,percentage,32.8,False,False,False,False,False,False,False,False,False
FB_013_E5C83D85,FB_013_E5C83D85_H2,vanilla,dollar_amount,2397.0,False,False,False,False,False,False,False,False,True
FB_013_E5C83D85,FB_013_E5C83D85_H1,vanilla,dollar_amount,3504.0,False,False,False,False,False,False,False,False,True
FB_014_3C2ED91D,FB_014_3C2ED91D_H2,vanilla,percentage,38.5,False,False,False,False,False,False,False,False,False
FB_014_3C2ED91D,FB_014_3C2ED91D_H1,vanilla,dollar_amount,4381.0,False,False,False,False,False,False,False,False,True
FB_015_5E139DB3,FB_015_5E139DB3_H2,vanilla,dollar_amount,3695.0,False,False,False,False,False,False,False,False,True
FB_015_5E139DB3,FB_015_5E139DB3_H1,vanilla,dollar_amount,4076.0,False,False,False,False,False,False,False,False,True
FB_017_4ABE7642,FB_017_4ABE7642_H3,vanilla,dollar_amount,11608.0,False,False,False,False,False,False,False,False,True
FB_017_4ABE7642,FB_017_4ABE7642_H2,vanilla,dollar_amount,5621.0,False,False,False,False,False,False,False,False,True
FB_017_4ABE7642,FB_017_4ABE7642_H1,vanilla,dollar_amount,11413.0,False,False,False,False,False,False,False,False,True
FB_018_6E9F56BB,FB_018_6E9F56BB_H2,vanilla,dollar_amount,27446.0,False,False,False,False,False,False,False,False,False
FB_018_6E9F56BB,FB_018_6E9F56BB_H1,vanilla,dollar_amount,29233.0,False,False,False,False,False,False,False,False,False
FB_019_A187C1CC,FB_019_A187C1CC_H2,vanilla,dollar_amount,14425.0,False,False,False,False,False,False,False,False,True
FB_019_A187C1CC,FB_019_A187C1CC_H1,vanilla,dollar_amount,10104.0,False,False,False,False,False,False,False,False,False
FB_020_C68C8862,FB_020_C68C8862_H2,vanilla,dollar_amount,179626.0,False,False,False,False,False,False,False,False,True
FB_020_C68C8862,FB_020_C68C8862_H1,vanilla,percentage,26.6,False,False,False,False,False,False,False,False,True
FB_021_8ECDBFF6,FB_021_8ECDBFF6_H2,vanilla,dollar_amount,14743.0,False,False,False,False,False,False,False,False,True
FB_021_8ECDBFF6,FB_021_8ECDBFF6_H1,vanilla,dollar_amount,2112.0,False,False,False,False,False,False,False,False,True
FB_022_466C1ED8,FB_022_466C1ED8_H2,vanilla,dollar_amount,947.0,False,False,False,False,False,False,False,False,True
FB_022_466C1ED8,FB_022_466C1ED8_H1,vanilla,dollar_amount,1235.0,False,False,False,False,False,False,False,False,True
FB_024_214CEB4C,FB_024_214CEB4C_H3,vanilla,dollar_amount,2085.0,False,False,False,False,False,False,False,False,False
FB_024_214CEB4C,FB_024_214CEB4C_H2,vanilla,dollar_amount,2926.0,False,False,False,False,False,False,False,False,False
FB_024_214CEB4C,FB_024_214CEB4C_H1,vanilla,dollar_amount,891.0,False,False,False,False,False,False,False,False,True
FB_025_E70F40EB,FB_025_E70F40EB_H3,vanilla,large_number,1669.0,False,False,False,False,False,False,False,False,True
FB_025_E70F40EB,FB_025_E70F40EB_H2,vanilla,large_number,17880.0,False,False,False,False,False,False,False,False,True
FB_025_E70F40EB,FB_025_E70F40EB_H1,vanilla,large_number,897.0,False,False,False,False,False,False,False,False,False
FB_027_9BE33B25,FB_027_9BE33B25_H3,vanilla,percentage,12.6,False,False,False,False,False,False,False,False,False
FB_027_9BE33B25,FB_027_9BE33B25_H2,vanilla,dollar_amount,8437.0,False,False,False,False,False,False,False,False,False
FB_027_9BE33B25,FB_027_9BE33B25_H1,vanilla,percentage,9.4,False,False,False,False,False,False,False,False,False
FB_028_C84B8000,FB_028_C84B8000_H2,vanilla,dollar_amount,38.0,False,False,False,False,False,False,False,False,True
FB_028_C84B8000,FB_028_C84B8000_H1,vanilla,dollar_amount,38.0,False,False,False,False,False,False,False,False,True
FB_029_CA5B2B49,FB_029_CA5B2B49_H2,vanilla,dollar_amount,2622.0,False,False,False,False,False,False,False,False,True
FB_029_CA5B2B49,FB_029_CA5B2B49_H1,vanilla,dollar_amount,1517.0,False,False,False,False,False,False,False,False,True
FB_030_DF79B84F,FB_030_DF79B84F_H2,vanilla,dollar_amount,16612.0,False,False,False,False,False,False,False,False,False
FB_030_DF79B84F,FB_030_DF79B84F_H1,vanilla,dollar_amount,8955.0,False,False,False,False,False,False,False,False,False
FB_031_E5667B37,FB_031_E5667B37_H3,vanilla,dollar_amount,762.0,False,False,False,False,False,False,False,False,True
FB_031_E5667B37,FB_031_E5667B37_H2,vanilla,dollar_amount,7678.0,False,False,False,False,False,False,False,False,True
FB_031_E5667B37,FB_031_E5667B37_H1,vanilla,percentage,29.4,False,False,False,False,False,False,False,False,True
FB_032_D18D6021,FB_032_D18D6021_H2,vanilla,dollar_amount,1474.0,False,False,False,False,False,False,False,False,False
