qid,type,inj_num,orig_num,inj_survived,orig_restored,g1_det,g2_det,g3_det,any_gate,g1_false_positive,g2_false_positive,g3_false_positive,any_false_positive,suppressed_no_restore
FB_001_F18BFC11,dollar_amount,1677.0,1449.0,False,True,True,True,False,True,False,False,False,False,False
FB_001_F18BFC11,dollar_amount,1967.0,1487.0,True,False,False,False,False,False,False,False,False,False,False
FB_002_42BE1D74,dollar_amount,14.3,18.2,False,True,True,True,False,True,False,False,False,False,False
FB_002_42BE1D74,dollar_amount,10.9,17.8,False,True,True,True,False,True,False,False,False,False,False
FB_003_959AE4F2,dollar_amount,59768.0,45517.0,False,True,True,True,False,True,False,False,False,False,False
FB_003_959AE4F2,dollar_amount,1858.0,1451.0,True,True,True,True,False,True,False,False,False,False,False
FB_003_959AE4F2,dollar_amount,29761.0,35436.0,True,True,False,False,False,False,False,False,False,False,False
FB_004_FF1B8BC2,dollar_amount,7927.0,6081.0,False,True,True,False,False,True,False,False,False,False,False
FB_004_FF1B8BC2,dollar_amount,46995.0,36693.0,False,True,True,False,False,True,False,False,False,False,False
FB_004_FF1B8BC2,dollar_amount,44964.0,36086.0,False,True,True,False,False,True,False,False,False,False,False
FB_005_FE85BE68,dollar_amount,8236.0,12421.0,True,False,False,False,False,False,False,False,False,False,False
FB_005_FE85BE68,dollar_amount,6023.0,8052.0,False,False,True,False,False,True,False,False,False,False,True
FB_006_A4622E06,dollar_amount,5902.0,8492.0,False,False,True,False,False,True,False,False,False,False,True
FB_006_A4622E06,dollar_amount,5576.0,4313.0,False,False,True,False,False,True,False,False,False,False,True
FB_007_31B558AC,dollar_amount,1009.0,750.0,True,True,False,False,False,False,False,False,False,False,False
FB_007_31B558AC,percentage,0.01,3.75,True,False,False,False,False,False,False,False,False,False,False
FB_007_31B558AC,percentage,8.5,4.25,False,True,True,True,False,True,False,False,False,False,False
FB_008_77FDE37A,dollar_amount,1.08,1.49,False,True,True,True,False,True,False,False,False,False,False
FB_008_77FDE37A,dollar_amount,1.9,1.49,False,True,True,True,False,True,False,False,False,False,False
FB_008_77FDE37A,dollar_amount,7.92,5.76,False,False,True,True,False,True,False,False,False,False,True
FB_009_ABDB2F6B,dollar_amount,1274.0,1025.0,False,True,True,True,False,True,False,False,False,False,False
FB_009_ABDB2F6B,dollar_amount,1435.0,1037.0,False,True,True,True,False,True,False,False,False,False,False
FB_010_CBE1B721,percentage,14.3,3.3,False,True,False,False,False,False,False,False,False,False,False
FB_010_CBE1B721,percentage,16.3,5.1,False,True,False,False,False,False,False,False,False,False,False
FB_011_F50BA584,dollar_amount,1051.0,1626.0,False,False,True,False,False,True,False,False,False,False,True
FB_011_F50BA584,dollar_amount,1034.0,1660.0,False,False,True,False,False,True,False,False,False,False,True
FB_012_41487F3A,dollar_amount,2035.0,2825.0,False,False,True,True,False,True,False,False,False,False,True
FB_012_41487F3A,percentage,32.8,21.3,False,False,True,True,False,True,False,False,False,False,True
FB_013_E5C83D85,dollar_amount,2397.0,2927.0,True,False,False,False,False,False,False,False,False,False,False
FB_013_E5C83D85,dollar_amount,3504.0,2628.0,False,False,True,True,False,True,False,False,False,False,True
FB_014_3C2ED91D,percentage,38.5,32.9,False,False,False,False,False,False,False,False,False,False,False
FB_014_3C2ED91D,dollar_amount,4381.0,5786.0,False,False,True,True,False,True,False,False,False,False,True
FB_015_5E139DB3,dollar_amount,3695.0,4895.0,True,False,False,False,False,False,False,False,False,False,False
FB_015_5E139DB3,dollar_amount,4076.0,3396.0,True,True,False,False,False,False,False,False,False,False,False
