qid,method,n_injections,n_survived,n_caught,all_caught,survival_rate
FB_001_F18BFC11,vanilla,2,2,0,False,1.0
FB_002_42BE1D74,vanilla,2,2,0,False,1.0
FB_003_959AE4F2,vanilla,3,3,0,False,1.0
FB_004_FF1B8BC2,vanilla,3,2,1,False,0.6666666666666666
FB_005_FE85BE68,vanilla,2,1,1,False,0.5
FB_006_A4622E06,vanilla,2,2,0,False,1.0
FB_007_31B558AC,vanilla,3,3,0,False,1.0
FB_008_77FDE37A,vanilla,3,3,0,False,1.0
FB_009_ABDB2F6B,vanilla,2,0,2,True,0.0
FB_010_CBE1B721,vanilla,2,0,2,True,0.0
FB_011_F50BA584,vanilla,2,2,0,False,1.0
FB_012_41487F3A,vanilla,2,1,1,False,0.5
FB_013_E5C83D85,vanilla,2,2,0,False,1.0
FB_014_3C2ED91D,vanilla,2,1,1,False,0.5
FB_015_5E139DB3,vanilla,2,2,0,False,1.0
FB_017_4ABE7642,vanilla,3,3,0,False,1.0
FB_018_6E9F56BB,vanilla,2,0,2,True,0.0
FB_019_A187C1CC,vanilla,2,1,1,False,0.5
FB_020_C68C8862,vanilla,2,2,0,False,1.0
FB_021_8ECDBFF6,vanilla,2,2,0,False,1.0
FB_022_466C1ED8,vanilla,2,2,0,False,1.0
FB_024_214CEB4C,vanilla,3,1,2,False,0.3333333333333333
FB_025_E70F40EB,vanilla,3,2,1,False,0.6666666666666666
FB_027_9BE33B25,vanilla,3,0,3,True,0.0
FB_028_C84B8000,vanilla,2,2,0,False,1.0
FB_029_CA5B2B49,vanilla,2,2,0,False,1.0
FB_030_DF79B84F,vanilla,2,0,2,True,0.0
FB_031_E5667B37,vanilla,3,3,0,False,1.0
FB_032_D18D6021,vanilla,2,0,2,True,0.0
FB_033_EE9D3CFB,vanilla,3,0,3,True,0.0
FB_034_BDBAA961,vanilla,3,1,2,False,0.3333333333333333
FB_035_15E1E864,vanilla,3,2,1,False,0.6666666666666666
FB_036_47FD0B96,vanilla,2,1,1,False,0.5
FB_037_CB0A4D6D,vanilla,3,1,2,False,0.3333333333333333
FB_038_9BAA83E2,vanilla,2,1,1,False,0.5
FB_039_FDBB6DC2,vanilla,3,3,0,False,1.0
FB_040_DBF8FC6A,vanilla,2,1,1,False,0.5
FB_041_EB5B1B78,vanilla,3,2,1,False,0.6666666666666666
FB_042_1741E456,vanilla,2,1,1,False,0.5
FB_043_1BA81F6A,vanilla,3,0,3,True,0.0
FB_044_899DEDA7,vanilla,3,3,0,False,1.0
FB_045_3960FE69,vanilla,2,0,2,True,0.0
FB_046_E323A993,vanilla,2,2,0,False,1.0
FB_047_A9C061FE,vanilla,3,1,2,False,0.3333333333333333
FB_048_79F71CE3,vanilla,3,1,2,False,0.3333333333333333
FB_049_4416C718,vanilla,3,1,2,False,0.3333333333333333
FB_050_A0B82AEA,vanilla,2,2,0,False,1.0
FB_051_091D46D5,vanilla,3,2,1,False,0.6666666666666666
FB_052_FC76DF78,vanilla,3,3,0,False,1.0
FB_053_05E755A5,vanilla,3,2,1,False,0.6666666666666666
FB_054_F1BBC565,vanilla,3,2,1,False,0.6666666666666666
FB_055_B75D0172,vanilla,3,0,3,True,0.0
FB_056_E46FAB20,vanilla,3,2,1,False,0.6666666666666666
FB_057_2D006C3F,vanilla,3,2,1,False,0.6666666666666666
FB_058_4FC4F0E9,vanilla,3,1,2,False,0.3333333333333333
FB_060_D8048F85,vanilla,2,2,0,False,1.0
FB_061_B30537F0,vanilla,3,2,1,False,0.6666666666666666
FB_062_CCEDD88C,vanilla,1,1,0,False,1.0
FB_063_38B981AD,vanilla,2,0,2,True,0.0
FB_064_7576A9AF,vanilla,3,2,1,False,0.6666666666666666
FB_065_8F3B2425,vanilla,3,3,0,False,1.0
FB_067_92C7D508,vanilla,3,2,1,False,0.6666666666666666
FB_068_46FFC913,vanilla,2,1,1,False,0.5
FB_069_15B93D82,vanilla,2,1,1,False,0.5
FB_070_4418F850,vanilla,3,2,1,False,0.6666666666666666
FB_071_0CB99E74,vanilla,3,0,3,True,0.0
FB_072_05A484DC,vanilla,2,1,1,False,0.5
FB_073_5495DBB9,vanilla,3,3,0,False,1.0
FB_074_499976A7,vanilla,2,2,0,False,1.0
FB_075_D5F39BB5,vanilla,2,1,1,False,0.5
FB_076_1BF5949C,vanilla,3,1,2,False,0.3333333333333333
FB_077_6547C156,vanilla,3,3,0,False,1.0
FB_078_F8A3C776,vanilla,2,2,0,False,1.0
FB_079_C8770283,vanilla,3,0,3,True,0.0
FB_081_4E1CC3D9,vanilla,2,2,0,False,1.0
FB_082_4FFC55E4,vanilla,2,0,2,True,0.0
FB_083_62A760DF,vanilla,3,2,1,False,0.6666666666666666
FB_084_403F35B5,vanilla,2,0,2,True,0.0
FB_085_149EBAE9,vanilla,3,1,2,False,0.3333333333333333
FB_086_889F46BB,vanilla,3,2,1,False,0.6666666666666666
FB_087_99FD2FB2,vanilla,3,0,3,True,0.0
FB_088_DD231ABD,vanilla,3,2,1,False,0.6666666666666666
FB_089_CF6163C6,vanilla,2,1,1,False,0.5
FB_090_72CFB567,vanilla,3,0,3,True,0.0
FB_091_82F6C167,vanilla,3,3,0,False,1.0
FB_092_1FF70EDD,vanilla,1,1,0,False,1.0
FB_093_3013F02B,vanilla,1,1,0,False,1.0
FB_094_62DF77C2,vanilla,3,0,3,True,0.0
FB_095_25B2B23C,vanilla,2,2,0,False,1.0
FB_096_3F49DA9A,vanilla,3,2,1,False,0.6666666666666666
FB_097_2BA7758E,vanilla,2,2,0,False,1.0
FB_098_7154A728,vanilla,2,2,0,False,1.0
FB_099_6BE111D5,vanilla,3,3,0,False,1.0
FB_100_6814F36E,vanilla,2,1,1,False,0.5
FB_101_79109208,vanilla,2,0,2,True,0.0
FB_102_F5764A3D,vanilla,2,1,1,False,0.5
FB_103_98E6E9E2,vanilla,2,0,2,True,0.0
FB_104_AE0FFD33,vanilla,3,3,0,False,1.0
FB_105_61DCE693,vanilla,3,3,0,False,1.0
FB_106_EB0A9203,vanilla,1,1,0,False,1.0
FB_107_B17259C6,vanilla,2,2,0,False,1.0
FB_108_8E72B311,vanilla,2,1,1,False,0.5
FB_109_F3781DA6,vanilla,2,2,0,False,1.0
FB_110_74F7847F,vanilla,2,0,2,True,0.0
FB_111_A4B199F5,vanilla,3,3,0,False,1.0
FB_112_2DC55A31,vanilla,2,2,0,False,1.0
FB_113_30E7F266,vanilla,2,1,1,False,0.5
FB_114_ACC06CE8,vanilla,2,2,0,False,1.0
FB_115_AE55E4C4,vanilla,3,1,2,False,0.3333333333333333
FB_116_1C09CCA7,vanilla,3,3,0,False,1.0
FB_117_C880E731,vanilla,3,0,3,True,0.0
FB_118_8B6021A4,vanilla,3,1,2,False,0.3333333333333333
FB_119_3CD84B18,vanilla,3,1,2,False,0.3333333333333333
